"file_name","language","transcript"
"data/train/719755.wav","en","The very second you receive this message, you need to leave your work aside so that we can discuss about your case and take necessary action on this matter in order to connect Investigation Officer, Press 1. And you will be connected to the Concerned Department. If we don't hear from you, then we will be forced to take legal action against you. "
"data/train/719750.wav","en","The very second you receive this message, you need to leave your work aside so that we can discuss about your case and take necessary action on this matter in order to connect Investigation Officer, Press 1. And you will be connected to the Concerned Department. If we don't hear from you, then we will be forced to take legal action against you. "
"data/train/1205446.wav","en","please press 1 to speak with the billing department. Otherwise, please press 2 to speak with the disconnections department. Thank you for choosing our services. "
"data/train/241125.wav","en","This message is intended to contact you, regarding a legal enforcement action executed under your social security number for suspicious and fraudulent activities committed in the state of Texas. And we just suspended your social security number. Ignoring this will be an intentional second attempt, to avoid initial appearance before magistrate, judge, or grand jury for a federal criminal offense, this is the final attempt to reach you, so if you want to know about this case just press 1. "
"data/train/500510.wav","en","We would like to inform you that there is an order placed for Apple iPhone 12 Pro using your Amazon account. If you do not authorize this order then press 1 or press 2 to authorize the order. "
"data/train/274452.wav","en","Hello, this is Mary Marcello regarding your COVID-19 relief payment, and you can reach me at my state assigned phone number, 855-228-4781, and it's my job to make you aware that because you qualified for a relief payment, you also qualify for the new debt relief program. The primary focus of this program is to provide student loan debt relief by either significantly reducing the amount you owe or eliminating it altogether. This was just passed by the Biden administration, actively known as BidenCare. We see that you have not enrolled in this free program, so please give me a call and I will make sure your form is submitted. It takes five minutes. Your state assigned phone number is 855-228-4781. And this call has been marked complete by State Agent Mary Marcello, agent number 5568. Talk with you soon. Take care. "
"data/train/635443.wav","en","Next from your Amazon account, which will charge you $899. If you did not authorize this order, then press 1 for Amazon support. Thank you. "
"data/train/587263.wav","en","Hi, this is Melanie. I'm giving you a call from the dealer service center. We recently noticed your car's extended warranty would expire and wanted to provide you with one final courtesy call before your warranty expires and your warranty coverage becomes voided. This would make you financially responsible for all service repairs. If you wish to extend or reinstate your car's warranty, press 4 now or press 9 to discontinue coverage and discontinue receiving these reminders. "
"data/train/651815.wav","en","AirPods is being ordered from your Amazon account for an amount of $1,537.35. To cancel your order or to connect with one of our customer support representatives, please press 1. "
"data/train/482002.wav","en","suspicious, and fraudulent activities carried out using your identities. The court has issued a suspension notice, along with a warrant against your name. Ignoring this message would be an intentional second attempt to avoid an initial appearance before the magistrate judge, or the exempt jury for a federal criminal offense. This is the final attempt to reach you. For more information, press 1 and hold for the next available agent. "
"data/train/1155333.wav","zh","And no one has signed for it For English inquiries, please press 1 And Chinese, please press 2 Sydex 国际快递最后一次通知您 We have an email that has been sent twice and no one has signed If you want to check it, please press 1 And Chinese, please press 2 "
"data/train/27991.wav","en","to your account before the next billing cycle. Congratulations on your excellent payment history. You now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. "
"data/train/582925.wav","en","being ordered from your Amazon account for an amount of $1,537.35. To cancel your order or to connect with one of our customer support representatives, please press 1. "
"data/train/525133.wav","en","Department of Social Security Administration. The reason you receive this phone call from our department is to inform you that there is a legal enforcement action filed on your social security number for fraudulent activities. So when you get this message kindly press 1 to connect with the next available officer. Thank you. "
"data/train/1211775.wav","en","Hello, this call is from Amazon. We have gone through your account, and we found that your Amazon account has been used for shopping purpose, as we can see multiple orders placed from your Amazon account. Now, to confirm your order, press 2, or press 1 to talk to our representative. "
"data/train/942979.wav","en","Hi there, I'm calling you from Spectrum to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 844-649-1413 from 8 a.m. to 5 p.m. Pacific Standard Time. Thank you and have a great day. "
"data/train/447375.wav","en","Hi, my name is Jason, calling you from Energy Advocates. How are you today? What I would like to do is tell you a little about the solar program. The benefits, tax rebates, and grants from the government that typically mean going solar is absolutely free for most people. I understand you are the homeowner of a single family regular house, right? Hello? How are you today? "
"data/train/790368.wav","en","call from our department is to inform you that there's a legal enforcement actions filed on your social security number for fraudulent activities. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, your social will be blocked permanently. Press 1 and you will be connected to the concerned department. "
"data/train/497288.wav","en","Hi, this is the alert system with FISA MasterCard account services with important changes to your account before the next billing cycle. Congratulations on your excellent payment history. You now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. "
"data/train/1116635.wav","zh","这是DHL国际快递最后语音通知 您有一份重要快件派送均无人签收 了解详情请按9 请按9 由人工客服为您服务 这是DHL国际快递最后语音通知 您有一份重要快件派送均无人签收 了解详情请按9 请按9 由人工客服为您服务 "
"data/train/463263.wav","en","This is an important call regarding illegal enforcement action being executed under your name for suspicious fraudulent activities carried out using your identity. The court has issued a suspension notice along with a warrant against your name. Ignoring this message will be an intentional second attempt to avoid initial appearance before a magistrate, judge or grand jury for a federal criminal offense. This is the final attempt to reach you. For more information, press 1 and hold for the next available officer. "
"data/train/544702.wav","en","your identity. The court has issued a suspension notice along with warrant against your name. Ignoring this message will be an intentional second attempt. To avoid initial appearance before a magistrate, judge, or grand jury for federal criminal offense, this is the final attempt to reach you. For more information, press 1 and hold for the next available officer. "
"data/train/66973.wav","en","Before using any financial accounts, please contact Apple Support Advisor. Press 1 to connect with Apple Support Advisor. Press 2 to listen to this message again. Thank you. "
"data/train/509676.wav","en","related to your name. We are trying to reach you but unfortunately we missed your answer. In order to connect our legal department press 1 so that we can discuss about your case file and take necessary action on this matter. In case we would not hear from you then you will face some legal consequences. To connect now press 1 and you will be automatically connect to the concerned department. By this call you have been officially notified. Thank you. "
"data/train/530083.wav","en","Officer Amanda Barnes and the purpose of the call we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas, so please in order go ahead get more information. To speak with Officer press 1. I repeat press 1. Thank you and have a great day. "
"data/train/463260.wav","en","This is an important call regarding a legal enforcement action being executed under your name for suspicious and fraudulent activities carried out using your identity. The court has issued a suspension notice along with a warrant against your name. Ignoring this message will be an intentional second attempt to avoid initial appearance before a magistrate, judge or grand jury for a federal criminal offense. This is the final attempt to reach you. For more information, press 1 and hold for the next available officer. "
"data/train/535208.wav","en","You now qualify for 0% interest rate on all your credit card account. This is the limited time offer, and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. "
"data/train/638881.wav","en","This call is from Department of Social Security Administration. The reason you have received this phone call from our department is to inform you that we just suspend your social security number because we found some suspicious activity. So if you want to know about this case, just press 1. Thank you. "
"data/train/711071.wav","en","Thank you for connecting. I am the virtual assistant for Margaret Smith with Central Processing Center for Federal Back Tax Negotiations. The purpose of her call was to make you aware that the government suspended the Tax Collection Act and will settle all old tax debts that U.S. residents may have. This means you are not going to need to pay back your past due taxes since they are non-collectible and ready to be settled. Using our automated approval technology, you are now able to obtain enrollment information based on your current situation. To use our AI automation and find the program you are interested in, please visit us at www.cdc.gov.au. "
"data/train/1631035650.66108_in_AKA_Management_Robocall__Computer-Hijack.wav","en","Hello, this call is from Microsoft Help Center. We encounter a serious issue coming out of your computer. It seems to be someone is trying to hijack your identity and try to steal your social security number and personal information. If it's not fixed right away then your computer will become obsolete and all of your credential information may got compromised. If you are the one who is using Microsoft Windows in your computer, then please press 7 now to speak with security team now. Please ignore if we called you by mistake. Thanks. "
"data/train/795470.wav","en","Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for App iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. "
"data/train/1034902.wav","zh","SEDEX International Express will inform you for the last time, that you have a parcel that has been delivered twice, and no one has signed for it. For English inquiries, please press 1, and Chinese please press 2. SEDEX International Express will inform you for the last time, that you have a parcel that has been delivered twice, and no one has signed for it. For English inquiries, please press 1, and Chinese please press 2. "
"data/train/s6diZGlyX3I3cGRpcjp0b21jYXQ5MzE1OjE2MzQ4NDA2ODIyMTNL98qFNd.gen_Global_Net_Holdings_Robocall__Utility-30MinDisconnect.wav","en","Hi, this is an automated message from the Disconnection Department of Pacific Gas and Electric, Electricity Company. This call is to inform you that your power will get disconnected in 30 minutes due to a pending balance on the account. If you need to speak with a representative for further information, please press 1. Thank you for choosing Pacific Gas and Electric. Goodbye. "
"data/train/857381.wav","en","Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. "
"data/train/509601.wav","en","We are calling you from the Department of Social Security Administration. The reason you received this phone call from our department is to inform you that there is a legal enforcement action filed on your Social Security number for fraudulent activities. So, when you get this message, kindly press 1 to connect with the next available officer. Thank you. "
"data/train/947222.wav","en","calling you from the legal department, the very second you receive this message you need to leave your work aside, so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned department. "
"data/train/431124.wav","en","We are calling you from the Department of Social Security Administration. The reason you have received this phone call from our department is to inform you that there is illegal information filed on your social security for fraudulent activities. So, when you get this message, kindly press 1 to connect with the next available officer. Thank you. "
"data/train/872731.wav","en","Hi there, I'm calling you from AT&T Direct TV to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 888-604-0734 from 8am to 5pm Pacific Standard Time. Thank you and have a great day. "
"data/train/823634.wav","en","We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. "
"data/train/530057.wav","en","trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the South border of Texas. So please in order go ahead, get more information to speak with officer press one. I repeat press one. Thank you and have a great day. "
"data/train/1098320.wav","en","Hello. This call is to inform you that a pre-authorized order has been placed on your name. So to authorize the order, or to talk to our representative, please press 1 or stay on the line. Thank you. Goodbye. "
"data/train/609713.wav","en","This is Susie calling with the Vehicle Service Department. We are calling about your vehicle's manufacturer's warranty. We sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff. And this is a courtesy call to renew your warranty before we close the file. If you are interested in renewing your auto warranty now, please press five now or press nine to be removed from our list. "
"data/train/1159022.wav","en","Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. "
"data/train/537327.wav","en","Administration. The reason you receive this phone call from our department is to inform you that there is a legal enforcement action filed on your social security number for fraudulent activities. So when you get this message kindly press 1 to connect with the next available officer. Thank you. "
"data/train/702997.wav","en","is to inform you that there is a legal enforcement actions files on your social security number for illegal and fraudulent activity. In order to connect a federal agent, press 1 and you will be connected to the concerned department. If we don't hear from you, your social will be blocked permanently. So once you receive this message, press 1 and talk to the officer from Social Security Administration. Thank you. "
"data/train/196673.wav","en","Thank you for choosing Hilton Hotels. We would like to inform you that thanks to the Friends and Family Rewards program, your membership is drawn to receive a complimentary stay. For further details, press 1 now. To be placed on the Do Not Call list, press 2 now. "
"data/train/1208904.wav","en","Hi there, I'm calling you from Comcast Xfinity to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 844-264-1142 from 8 a.m. to 5 p.m. Pacific Standard Time. Thank you, and have a great day. "
"data/train/584754.wav","en","from our department is to inform you that there is a legal enforcement action filed on your social security number for fraudulent activities. So, when you get this message, kindly press 1 to connect with the next available officer. Thank you. "
"data/train/1181985.wav","zh","Sydex国际快递最后一次通知您,您有一个快件已派送两次无人签收,如需查询英文请按1,中文请按2。 "
"data/train/27570.wav","en","Congratulations on your excellent payment history. You now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. "
"data/train/188142.wav","en","This message is provided by the Administration of Energy Saving. The state has now set aside $1.3 billion. Your home is eligible for up to $10,000 to use for clean energy upgrades for exterior paint, new windows, HVAC, drought collar landscaping, cool roof, and solar. To find out how much your home is qualified for, press 1. If your home has already been qualified, press 9. "
"data/train/543076.wav","en","name is officer Amanda Barnes and the purpose of the call we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas so please in order go ahead get more information to speak with officer press one I repeat press one thank you and have a great day "
"data/train/453389.wav","en","This call is from U.S. Customs and Border Protection. The reason of this call is to inform you about a package has been seized under your name by U.S. Customs and Border Protection with contraband of drugs and cash. So the moment you receive this call, press 1 to speak with the CBP officer. I repeat press 1 to speak with CBP officer. Thank you. Goodbye. "
"data/train/547592.wav","en","How are you doing today? Glad to hear that. Well, DirecTV is offering 50% discount to all of its existing customers. Do you have a moment to speak so I can go ahead and apply the discounts on your account? "
"data/train/1006864.wav","en","order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. "
"data/train/795456.wav","en","Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. "
"data/train/557684.wav","en","12 Pro using your Amazon account if you do not authorize this order and to refund your amount press 1, or press 2 to authorize this order. "
"data/train/841748.wav","en","Hi there, I'm calling you from AT&T Direct TV to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 855-457-7745 from 8 a.m. till 9 p.m. Pacific Standard Time. Thank you and have a great day. "
"data/train/797786.wav","en","Hello, this call is from So, Shell, C, Cure, T, Noom, Burr. We have found some Sooths, P, C, Us, Act, T, Witty under your name. Please press 1 now to speak with presenters. Thank you. "
"data/train/567529.wav","en","To inform you that you will be experiencing a disconnection of service today within 30 minutes due to non-payment on the account, please press one to speak with a representative. Please press one. Thank you. Greetings. This is an automated message from the Disconnection Department of Jersey Central Power and Light Electricity Company. To inform you that you will be experiencing a disconnection of service today within 30 minutes due to non-payment on the account, please press one to speak with a representative. Please press one. Thank you. "
"data/train/211195.wav","en","Hello, I am an artificial intelligent notification bot. The purpose of this call is to make you aware that a recent lawsuit settlement now requires the IRS to settle all old tax debt that any US residents currently have. This means you do not need to pay back your past due taxes as they are temporarily non-collectible and can be forced into a settlement on your behalf. Using our automated approval technology, you are now able to obtain enrollment information based on your current situation. Use our AI automation and find the program you are approved. "
"data/train/1167378.wav","en","Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. "
"data/train/s6diZGlyX3BiNWRpcjp0b21jYXQ0NzY3OjE2MTkxMTc0ODUzOTd652aDjV.gen_iBasis_Robocall__SSA-P1-BenefitsCanceled__GovtImpers_.wav","en","Due to some suspicious activities related to your social security number, we are forced to suspend your social security number with immediate effect. In case you feel this is an error, you may connect to the legal department of social security administration. In order to connect a social security administration officer, press 1. In case we do not hear from you, your social will be blocked permanently. To connect now, press 1, and you will be automatically connected to the concerned department. "
"data/train/582998.wav","en","Hi, this call is from PayPal, we've noticed, unusual login activity from four different devices and locations you don't usually use. Multiple transaction of $499 for Google Play gift card, has been processed, and it will be deducted from your account soon. Was this you? If you haven't authorize these transaction then press 1 to speak to one of our representatives, thank you. "
"data/train/373798.wav","en","been seized under your name by U.S. Customs and Border Protection, with contraband of drugs and cash. So the moment you receive this call, press 1 to speak with the CBP officer, I repeat press 1 to speak with CBP officer. Thank you. "
"data/train/66151.wav","en","to inform you that your social security number is going to be suspended for committing some fraudulent and suspicious activity in the state of Texas. So to find out more information and to resolve it, kindly press 1. "
"data/train/1205449.wav","en","This is the notifications department from your electric company service provider. You have an automatic interruption of service in the next 30 to 45 minutes due to delinquent account status. If you find this to be an error or would like to stop the interruption, please press 1 to speak with the billing department. Otherwise, please press 2 to speak with the disconnections department. Thank you for choosing your services. "
"data/train/48761.wav","en","6% on your credit card. Please press 1 to speak with a live operator and get the confirmation code. "
"data/train/576026.wav","en","My name is officer Amanda Barnes and the purpose of the call, we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas. So please in order go ahead, get more information to speak with officer press one. I repeat press one. Thank you and have a great day. "
"data/train/1226300.wav","en","Hi, it's Emma Miller on Friday, February 3rd. I'm calling about the suspension on federal student loan repayment. If you have a debit balance of your loan, you will have to resume paying back. Now is your chance to get into a program so that you can qualify for the $10,000 debt elimination. If you want to be included in the program, call us back at this number before 5 p.m. today. If you'd like to opt out of these reminders, please do let us know so I can remove you from these calls. "
"data/train/1037793.wav","en","Hello. You have been contacted from Amazon. This call is in regard to authorize a payment of $299. We would like you to inform that there has been an order place for an Apple iPhone 11 Pro using your account. If you do not authorize, then press 1 to speak our representative or press 2 to authorize. Thank you. "
"data/train/1002976.wav","en","Hello. You have been contacted from Amazon. This call is in regard to authorize a payment of $299. We would like you to inform that there has been an order place for an Apple iPhone 11 Pro using your account. If you do not authorize, then press 1 to speak our representative or press 2 to authorize. Thank you. "
"data/train/1636645783.25822_in_Telcast_Robocall__AutoWarrantyExtend.wav","en","This is Susie calling with the Vehicle Service Department. We are calling about your vehicle's manufacturer's warranty. We sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff. And this is a courtesy call to renew your warranty before we close the file. If you are interested in renewing your auto warranty now, please press five now or press nine to be removed from our list. Hi, this is Susie calling with the Vehicle Service Department. We are calling about your vehicle's manufacturer's warranty. We sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff. "
"data/train/s6diZGlyX3NncGRmYTp0b21jYXQxMDc0OjE2Mzg0NzcwOTkzNTdoOzmjvc.gen_Telcentris_Robocall__CCIRR-VisaAlert.wav","en","Hi, this is the alert system with Visa MasterCard account services with important changes to your account before the next billing cycle. Congratulations on your excellent payment history. You now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. "
"data/train/28198.wav","en","Hi, I'm calling you from your Satellite TV provider to let you know that your account is qualified for 50% off. In order to obtain the discount, kindly call us back on the number you see on your caller ID. Thank you, and have a great day. "
"data/train/739591.wav","en","A pre-authorized purchase of an Apple MacBook Pro and an Apple AirPods is being ordered from your Amazon account for an amount of $1,537.35. To cancel your order or to connect with one of our customer support representative, please press 1. "
"data/train/525153.wav","en","call from our department is to inform you that there is a legal enforcement action filed on your social security number for fraudulent activities. So when you get this message kindly press 1 to connect with the next available officer. Thank you. "
"data/train/509708.wav","en","related to your name, we are trying to reach you, but unfortunately we missed your answer. In order to connect our legal department, press 1. So that we can discuss about your case file and take necessary action on this matter. In case we would not hear from you, then you will face some legal consequences. To connect now press 1, and you will be automatically connect to the concerned department. By this call, you have been officially notified. Thank you. "
"data/train/42657.wav","en","Hello. This is just a test call. Time to stay home. Stay safe and stay home. "
"data/train/447377.wav","en","Hi, my name is Jason, calling you from Energy Advocates. How are you today? What I would like to do is tell you a little about the solar program. The benefits, tax rebates, and grants from the government that typically mean going solar is absolutely free for most people. I understand you are the homeowner of a single family regular house, right? Hello? How are you today? "
"data/train/525134.wav","en","Social Security Administration. The reason you receive this phone call from our department is to inform you that there's a legal enforcement action filed on your social security number for fraudulent activities. So when you get this message kindly press 1 to connect with the next available officer. Thank you. "
"data/train/360172.wav","en","Hello. I am an artificial intelligent notification bot. The purpose of this call is to make you aware that as a U.S. resident, you are now able to take advantage of alternative federal student loan repayment options and hardship programs. These programs are only for individuals who have less than $160,000 in federal student loan debt. Having debt obligations may cause a hardship when added to your overall monthly bills. Using our automated approval technology, you are now able to obtain enrollment information based on your current situation. "
"data/train/1125248.wav","en","Fargo is on hold due to suspicious activities. If you did not apply to open a business account with us, then press 1 and speak with one of our representatives to report identity theft. But if you applied for it, then you are required to visit one of our nearest branches to complete the verification. I repeat, press 1 if you did not apply for it. Thank you. "
"data/train/463271.wav","en","This is an important call regarding a legal enforcement action being executed under your name for suspicious and fraudulent activities carried out using your identity. The court has issued a suspension notice along with a warrant against your name. Ignoring this message will be an intentional second attempt to avoid initial appearance before a magistrate, judge or grand jury for a federal criminal offense. This is the final attempt to reach you. For more information, press 1 and hold for the next available officer. "
"data/train/698022.wav","en","Pro on your account, which is billed on your card attached to your Amazon account. The amount charged in $1,499. We noticed some suspicious activity on your account, so we have put in hold to this transaction. Please press 1 now. And to report, please press 2. Thank you. "
"data/train/70649.wav","en","some suspicious activities related to your social security number, we are forced to suspend your social security number with immediate effect. In case you feel this is an error, you may connect to the legal department of social security administration. In order to connect a social security administration officer, press 1. In case we did not hear from you, your social will be blocked permanently. To connect now, press 1 and you will be automatically connected to the concerned department. "
"data/train/788973.wav","en","11 Pro on your account, which is billed on your card attached to your Amazon account. The amount charged in $1,499. We noticed some suspicious activity on your account, so we have put in hold to this transaction. Please press 1 now, and to report please press 2. Thank you. "
"data/train/560776.wav","en","Hi, this is Vanessa, and I'm giving you a call from the Dealer Service Center. We recently noticed your car's extended warranty was going to expire and wanted to give you one final courtesy call before your warranty expires and your coverage is voided. This would make you financially responsible for all service repairs. Press 1 now if you wish to extend or reinstate your car's warranty. Once again, press 1 now or press 2 to be placed on the DNC or call 833-304-1447. "
"data/train/549504.wav","en","you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. "
"data/train/576024.wav","en","name is Officer Amanda Barnes and the purpose of the call we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas. So please in order go ahead get more information. To speak with officer press one. I repeat press one. Thank you and have a great day. "
"data/train/28647.wav","en","Department of Social Security Administration, the reason you have received this phone call from our department is to inform you that there's a legal enforcement actions filed on your social security number for fraudulent activities. So when you get this message, kindly call back at the earliest possible on our number before we begin with the legal proceedings, that is 985-602-2013. Thank you. "
"data/train/539381.wav","en","but unfortunately we missed your answer. In order to connect our legal department, press one. So that we can discuss about your case file and take necessary action on this matter. In case we would not hear from you, then you will face some legal consequences. To connect now press one, and you will be automatically connect to the concerned department. By this call, you have been officially notified. Thank you. "
"data/train/668376.wav","en","Dear customer, this is Marni from Amazon. We have noticed some fraudulent activities on your Amazon account regarding some unauthorized charge of $1,500 from unknown IP address coming from Albany, New York. Kindly press 1 to talk to our Amazon security department. Thank you. "
"data/train/64732.wav","en","have an automatic interruption of service in the next 30 to 45 minutes due to delinquent account status. If you find this to be an error, or would like to stop the interruption, please press 1 to speak with the billing department. Otherwise, please press 2 to speak with the disconnection department. Thank you for choosing our services. "
"data/train/s6diZGlyX2xnbmRpcjp0b21jYXQ4NzA0OjE2MjQ1NTY2MjkzMjZI78lHZc.gen_Great_Choice_Robocall__Medicare-Ineligible.wav","en","you numerous times by mail and now by phone in regards to policy benefits offered through your Medicare plan. If you do not act soon, we will label you ineligible for these benefits. To speak to a local specialist or to learn more about these benefits, please press 1. To be removed from our call list, please press 9. This is Susan, your local patient advocate. This is an urgent message for all patients currently on Medicare. We have tried to reach you numerous times by mail and now by phone in regards to policy benefits offered through your Medicare plan. If you do not act soon, we will label you ineligible for these benefits. To speak to a local specialist or to learn more about these benefits, please press 1. To be removed from our call list, please press 9. This is Susan, your local patient advocate. This is an urgent message for all patients currently on Medicare. We have tried to reach you numerous times by mail and now by phone in regards to policy benefits offered through your Medicare plan. If you do not act soon, we will label you ineligible for these benefits. To speak to a local specialist or to learn more about these benefits, please press 1. To be removed from our call list, please press 9. "
"data/train/132842.wav","en","below 6 on your credit card, so please press 1 to speak with live operator and get the confirmation number. "
"data/train/787202.wav","en","The reason you are receiving this phone call is to inform you that we will be suspending your social security number because we found some suspicious activities on your social security. If you want more information about this case, press 1. Thank you. "
"data/train/702999.wav","en","aside so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned department. "
"data/train/1054686.wav","en","or Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. "
"data/train/767266.wav","en","Hello, hi this is Ami from Cash App Support. This is an important security message that in regards to your Cash App account. Our server have detected some suspicious activities on your Cash App account as a result we have blocked all access to your account to prevent data bridge. Please do not use Cash App account until you speak with Cash App Support representative. Please refrain using any financial activity on your account. In order to speak with in Cash App representative right now press 1 or please call on 415-688-6201. "
"data/train/516605.wav","en","of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. "
"data/train/929961.wav","en","trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas, so please in order go ahead get more information. To speak with officer press 1. I repeat press 1. Thank you and have a great day. "
"data/train/53078.wav","en","You have been qualified to drop down your interest rate below 6 percent on your credit card. Press 1 to speak with a live operator and get the confirmation code. "
"data/train/790358.wav","en","This phone call from our department is to inform you that there's a legal enforcement actions filed on your social security number for fraudulent activities. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, your social will be blocked permanently. Press 1 and you will be connected to the concerned department. "
"data/train/701116.wav","en","Social Security number has been used for some kind of fraudulent activities in the south border of Texas, so please in order go ahead get more information. To speak with officer press 1. I repeat press 1. Thank you and have a great day. "
"data/train/1094280.wav","zh","SEDEX International Express will inform you for the last time, that you have a parcel that has been delivered twice, and no one has signed for it. For English inquiries, please press 1, and Chinese please press 2. SEDEX International Express will inform you for the last time, that you have a parcel that has been delivered twice, and no one has signed for it. For English inquiries, please press 1, and Chinese please press 2. "
"data/train/303960.wav","en","Thank you for choosing MasterCard, Visa, and Discover. As our way of saying thanks, we'd like to reward you for making your payments in a timely fashion. We're excited to inform you that you're now eligible to qualify for 0% interest rates on your existing credit card accounts. If you still owe more than $5,000 in total credit card debt, press the number 1 to qualify for lower interest, lower payments, and cash back benefits for your most recent purchases. Press 1 now for more information. "
